tld,url,2008,2016,2020,depth,fromedgi
epa.gov,http://www.epa.gov:80/,20080103000713,20160101070710,20200101010108,high,TRUE
epa.gov,http://www.epa.gov:80/acidrain/,20080219061155,20160110034246,20200101034604,high,TRUE
epa.gov,http://www.epa.gov:80/adr/,20080725145531,20160306104327,20200329121023,high,TRUE
epa.gov,http://www.epa.gov:80/agriculture,20080103124257,20160107162642,20200102043429,high,TRUE
epa.gov,http://www.epa.gov:80/asbestos,20080511193052,20160101232558,20200101034802,high,TRUE
epa.gov,http://www.epa.gov:80/asthma,20080517115733,20160115033003,20200101034736,high,TRUE
epa.gov,http://www.epa.gov:80/beaches,20080509134642,20160110091026,20200115192644,high,TRUE
epa.gov,http://www.epa.gov:80/brownfields/,20080312234137,20160101121957,20200101035054,high,TRUE
epa.gov,http://www.epa.gov:80/careers/,20080516111226,20160105184610,20200101034551,high,TRUE
epa.gov,http://www.epa.gov:80/castnet/,20081012141757,20160106051918,20200101041804,high,TRUE
epa.gov,http://www.epa.gov:80/children,20080511154317,20160105004843,20200101060158,high,TRUE
epa.gov,http://www.epa.gov:80/chp,20080509121851,20160306161233,20200101034540,high,TRUE
epa.gov,http://www.epa.gov:80/cleandiesel,20080115023057,20160115163935,20200103195434,high,TRUE
epa.gov,http://www.epa.gov:80/compliance/,20080110174226,20160107124820,20200101041312,high,TRUE
epa.gov,http://epa.gov/cre/,20080920011357,20160413042329,20200102043214,high,TRUE
epa.gov,http://www.epa.gov/cwns/,20080726062010,20160117164948,20200102044346,high,TRUE
epa.gov,http://www.epa.gov:80/energy/,20081204075736,20160105090623,20200101010332,high,TRUE
epa.gov,http://www.epa.gov:80/enforcement/,20081219172034,20160107152132,20200101041305,high,TRUE
epa.gov,http://www.epa.gov:80/enviro/,20080110231517,20160127104726,20200209070538,high,TRUE
epa.gov,http://www.epa.gov/environmentaljustice,20081012010048,20160211162131,20200101035920,high,TRUE
